ADM2_PCODE,total_population
UY01002,315.6378671040459
UY01003,17776.480875073747
UY01004,40.45792298204373
UY01005,2575.4467640583503
UY01006,44862.503732022305
UY01007,473.26988263332447
UY01008,2959.9222777642763
UY01009,266.9242207885918
UY02162,10823.04547824273
UY02165,8528.871896546516
UY02171,3325.8471837603943
UY02172,4026.8852365793496
UY02175,4157.124164926203
UY02181,7590.577335884248
UY02182,28936.045730126712
UY02183,6564.013123417068
UY02324,19679.263799005683
UY02338,10507.481906573823
UY02340,19417.95104421865
UY02342,24061.499960065583
UY02343,36182.22446527402
UY02344,127599.15718160717
UY02346,427.8488064972505
UY02347,19434.10428524938
UY02348,138667.74971498695
UY02349,118636.8906633184
UY03034,4045.6507251583885
UY03046,109.29470477044579
UY03047,3393.6981469075818
UY03052,56349.633454815455
UY03054,193.53984124559952
UY03055,901.1740600707811
UY03057,524.1919117297268
UY03061,201.6147324468501
UY03062,385.7315227246318
UY03065,741.2816258881317
UY03066,16989.61990511748
UY03067,192.97273319834252
UY04139,291.04606803187136
UY04145,4800.292156182781
UY04146,487.7158868253538
UY04152,1809.8170723503604
UY04197,4100.500318406507
UY04310,4017.9524666392103
UY04314,12953.185292374637
UY04315,9592.943657556001
UY04356,19575.76261552694
UY04382,11026.55060702757
UY04461,1910.1688265932758
UY04528,12798.70948389646
UY04531,12421.120294382788
UY04540,33283.50461327963
UY05114,37689.61026568367
UY05063,732.8595715190046
UY05071,3155.4625307645692
UY05072,797.7223491279314
UY05079,5601.725957051216
UY05080,1873.4307824550394
UY05081,8729.506396597919
UY05085,226.88483805180152
UY05089,366.0332939945179
UY05092,3022.258524311234
UY05093,177.92845300474397
UY05095,1173.9478207264401
UY05097,301.8016717450084
UY06100,497.5846568487279
UY06102,22767.639352637394
UY06106,460.5420810207131
UY06118,116.87533824532993
UY06124,483.8054509994851
UY06130,591.7167024637204
UY07101,156.19822494213847
UY07113,8079.621995791304
UY07116,378.0364323621305
UY07117,914.692764350907
UY07119,75.33664559831256
UY07131,1506.9710868972782
UY07132,641.4459075424073
UY07135,6624.235553696992
UY07140,3613.468376385256
UY07141,2461.23787974684
UY07147,1004.9318549698372
UY07149,40508.35860276171
UY07169,1366.9355931930093
UY08109,548.1868880788966
UY08110,3247.510815277762
UY08115,5286.646824578655
UY08121,751.9356498541647
UY08133,220.757266794086
UY08137,2054.2971664346846
UY08138,282.85300019105296
UY08144,293.48527352369433
UY08156,243.34906575665906
UY08157,333.2207534226825
UY08161,41538.31927649758
UY08166,1288.1118124952247
UY08179,5172.352932070915
UY09307,2587.9953719673144
UY09321,121.82148202203868
UY09332,225.33024516790297
UY09337,24757.465668920962
UY09339,27211.67075077616
UY09341,19221.947130603818
UY09345,3490.13811962952
UY09351,125632.34455936216
UY09523,1413.5297135724586
UY10354,1300357.4185568332
UY11026,1666.3432540117233
UY11031,191.27219878225725
UY11035,64.38582333269622
UY11037,284.6291455377198
UY11039,4048.8934166595086
UY11040,54.37969115699591
UY11041,860.1737435656585
UY11045,620.462965567278
UY11048,34977.80322153785
UY11049,1739.9922973683474
UY11050,112.83078613485772
UY11056,65254.64631491367
UY12058,6512.641516373191
UY12059,489.01384195596273
UY12060,1405.8542608119935
UY12064,134.80433082780556
UY12069,57.80285690308024
UY12070,2744.536092865501
UY12073,19190.343691940616
UY12074,78.68709511242146
UY12075,476.67392865363814
UY12076,2727.0923302858414
UY12084,210.97083385703237
UY12099,28796.849703513322
UY13012,83361.97242360328
UY13015,739.3667733823703
UY13016,7719.533447059637
UY13017,401.19736739621686
UY13022,5331.068265462674
UY13023,892.2877569206936
UY13025,120.73528021271223
UY13028,4334.096001564962
UY14103,2812.150484357853
UY14128,8870.935515093774
UY14289,14404.82620357678
UY14291,8878.436273608808
UY14294,312.29148905532827
UY14308,552.104044573574
UY14317,180.5347180026014
UY14320,26207.763968212454
UY14328,5715.050789004243
UY14521,227.37064156700453
UY15011,2277.710733670383
UY15013,3046.1038678111063
UY15014,185.07296918212882
UY15150,3361.4813812024427
UY15151,119793.94979878569
UY15018,1010.1513361127797
UY15019,1386.3104194313037
UY15021,556.9407963487463
UY15250,295.2937083478643
UY15027,542.5089829046507
UY16142,596.0070195365768
UY16153,1296.1314113392002
UY16154,46057.12734958396
UY16159,2038.9351835802813
UY16167,303.67305181097316
UY16312,4982.721749013541
UY16336,56071.080630094846
UY17105,44458.84176352151
UY17107,175.5888749698989
UY17111,1400.3423617773713
UY17112,87.56338475682868
UY17120,2540.717333745234
UY17122,2506.4225633873884
UY17123,20546.03121768319
UY17125,582.6733000287805
UY17126,4493.1417147604
UY17129,1268.5345480110655
UY17136,1745.2853751557557
UY17090,429.2983803341725
UY17096,541.669989435218
UY17098,269.80640821328484
UY18020,498.9403383991685
UY18024,59.19483784116865
UY18029,448.7814914112698
UY18030,7870.840912953167
UY18032,55115.20142853759
UY18033,2045.5444628192108
UY18036,2218.7941281764993
UY18038,4111.828400171526
UY18042,571.696804500408
UY18043,761.2748203511064
UY18044,2441.3472421361225
UY18051,2562.9218285818138
UY18053,189.81867339572167
UY18068,118.25539688091752
UY19104,35293.137565321675
UY19108,0.004109524433106845
UY19001,1941.6839054970847
UY19078,107.34719797952877
UY19082,1205.4716014522198
UY19083,2502.673413598923
UY19086,3713.645293809681
UY19087,823.2155327820685
UY19088,662.4731923211258
UY19091,3402.2054719664084
